Total files are count: 553

 file_number: 1, name: 94.JPG, class: Sadi_pridoniya_sok_vishnya, score: 78.10496687889099% 
 file_number: 205, name: 359.JPG, class: Tide, score: 48.80169332027435% 

 file_number: 206, name: 310.JPG, class: Sanitaizer_zero, score: 53.26473116874695% 

 file_number: 207, name: photo_2020-05-11_17-06-29.jpg, class: Mistal_ris_indika, score: 62.43891716003418% 

 file_number: 208, name: photo_2020-05-11_17-01-51.jpg, class: MiT_Losev, score: 2.4529634043574333% 

 file_number: 209, name: 64.JPG, class: Heinz_kasha_tykwa, score: 46.689265966415405% 

 file_number: 210, name: photo_2020-05-11_17-04-20.jpg, class: Leps, score: 70.12745141983032% 

 file_number: 211, name: 275.JPG, class: Sadaka_tea, score: 57.647186517715454% 

 file_number: 212, name: 33.JPG, class: Plombir_fistashka, score: 98.80714416503906% 

 file_number: 213, name: 12.JPG, class: Sanitaizer_zero, score: 96.69315814971924% 

 file_number: 214, name: 250.JPG, class: Fruto_nyanya_apple_banana, score: 55.00005483627319% 

 file_number: 215, name: 227.JPG, class: Greenfield, score: 34.49023365974426% 

 file_number: 216, name: 144.JPG, class: Adlin, score: 96.13218903541565% 

 file_number: 217, name: 184.JPG, class: Heinz_fruits_salad, score: 80.74200749397278% 

 file_number: 218, name: 232.JPG, class: Heinz_fruits_salad, score: 19.27129328250885% 

 file_number: 219, name: 222.JPG, class: Sangria, score: 23.455531895160675% 

 file_number: 220, name: photo_2020-05-11_16-58-33.jpg, class: Miratorg, score: 92.55138635635376% 

 file_number: 221, name: 93.JPG, class: Voda_antipodes, score: 78.76702547073364% 

 file_number: 222, name: 304.JPG, class: Muesli_ogo, score: 66.34969115257263% 

 file_number: 223, name: 132.JPG, class: Sadi_pridoniya_sok_vishnya, score: 76.74909234046936% 

 file_number: 224, name: photo_2020-05-11_17-01-44.jpg, class: MiT_Losev, score: 51.89491510391235% 

 file_number: 225, name: photo_2020-05-11_17-00-38.jpg, class: MiT_Losev, score: 0.8853098377585411% 

 file_number: 226, name: photo_2020-05-11_17-08-44.jpg, class: Risotto_tartufo, score: 62.88556456565857% 

 file_number: 227, name: photo_2020-05-11_16-59-07.jpg, class: MiT_Matnishyan, score: 36.54433786869049% 

 file_number: 228, name: photo_2020-05-11_16-59-22.jpg, class: Alfa_bank_Nikolaeva, score: 57.91065692901611% 

 file_number: 229, name: 276.JPG, class: Mens_peris, score: 90.12442231178284% 

 file_number: 230, name: photo_2020-05-11_17-08-03.jpg, class: Vologodskaya_malina, score: 44.82234716415405% 

 file_number: 231, name: 339.JPG, class: Heinz_kasha_tykwa, score: 61.7924690246582% 

 file_number: 232, name: 200.JPG, class: Mistral_grechka_farm, score: 72.77018427848816% 

 file_number: 233, name: 153.JPG, class: Heinz_kasha_tykwa, score: 86.65605187416077% 

 file_number: 234, name: 302.JPG, class: Sadaka_tea, score: 59.60094332695007% 

 file_number: 235, name: 112.JPG, class: Ahmad_tea_earl_grey, score: 20.41088342666626% 

 file_number: 236, name: 255.JPG, class: Heinz_apple_pear, score: 31.381908059120178% 

 file_number: 237, name: 2.JPG, class: Vernel, score: 52.323710918426514% 

 file_number: 238, name: 257.JPG, class: Mens_peris, score: 15.441809594631195% 

 file_number: 239, name: photo_2020-05-11_17-01-16.jpg, class: MiT_Losev, score: 3.6284297704696655% 

 file_number: 240, name: 89.JPG, class: Heinz_kasha_tykwa, score: 92.72239208221436% 

 file_number: 241, name: 96.JPG, class: Derbent, score: 44.98836100101471% 

 file_number: 242, name: 291.JPG, class: Koska_delight, score: 19.56726461648941% 

 file_number: 243, name: 186.JPG, class: Oil_of_black_Tmin, score: 91.18448495864868% 

 file_number: 244, name: 49.JPG, class: Adlin, score: 91.50782227516174% 

 file_number: 245, name: 137.JPG, class: Tide, score: 35.02511978149414% 

 file_number: 246, name: 301.JPG, class: Heinz_apple_pear, score: 47.618481516838074% 

 file_number: 247, name: 344.JPG, class: Cornline_bar, score: 39.35692310333252% 

 file_number: 248, name: photo_2020-05-11_16-58-26.jpg, class: Alfa_bank_Sereda, score: 1.566392183303833% 

 file_number: 249, name: 224.JPG, class: Heinz_kasha_before_sleep, score: 71.93114161491394% 

 file_number: 250, name: photo_2020-05-11_17-05-28.jpg, class: Five_lakes, score: 68.68796944618225% 

 file_number: 251, name: photo_2020-05-11_17-08-32.jpg, class: Dolce_Albero_cake, score: 26.99444591999054% 

 file_number: 252, name: 74.JPG, class: Sadi_pridoniya_spure_vishnya, score: 19.302301108837128% 

 file_number: 253, name: photo_2020-05-11_17-03-35.jpg, class: Carmex, score: 97.00810313224792% 

 file_number: 254, name: 269.JPG, class: Heinz_kasha_before_sleep, score: 92.77697205543518% 

 file_number: 255, name: 103.JPG, class: Heinz_apple_pear, score: 69.38672065734863% 

 file_number: 256, name: photo_2020-05-11_17-04-54.jpg, class: Prostamol_uno, score: 1.2127559632062912% 

 file_number: 257, name: photo_2020-05-11_17-06-35.jpg, class: Mistal_ris_indika, score: 65.86545705795288% 

 file_number: 258, name: photo_2020-05-11_17-01-24.jpg, class: MiT_Losev, score: 87.00598478317261% 

 file_number: 259, name: 87.JPG, class: Fruto_nyanya_apple_banana, score: 83.47120881080627% 

 file_number: 260, name: 321.JPG, class: Sanitaizer_zero, score: 78.95799279212952% 

 file_number: 261, name: 366.JPG, class: Sanitaizer_zero, score: 70.98890542984009% 

 file_number: 262, name: 220.JPG, class: Five_lakes, score: 81.89446330070496% 

 file_number: 263, name: photo_2020-05-11_17-01-41.jpg, class: Ambrobene_rastvor, score: 28.5930335521698% 

